Auktion;Art;Klas.;Sort;Redskab;MSC;SeaPacked;Ks;Kilo;Slant;Ialt;Pris;Total;Område;Dato;Redskab;Sælger;Sælger navn;Sælger adresse;Post nr.;By;Land;Tlf;Email;Landingsdato;Fangst start;Fangst slut;FAO;Latin;Parti nr.
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;94,50;1890,00;27.3.AS;11-12-2019;OTB;FN 321;FN 321;;;;Denmark;;;11-12-2019;10-12-2019;10-12-2019;NEP;Nephrobs Norvegicus;11122019701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;25,00;25,00;97,50;2437,50;27.3.AS;11-12-2019;OTB;FN 131;FN 131;;;;Denmark;;;11-12-2019;10-12-2019;10-12-2019;NEP;Nephrobs Norvegicus;111220191002
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;13,00;13,00;86,50;1124,50;27.3.AS;16-12-2019;OTB;FN 459;FN 459;;;;Denmark;;;16-12-2019;14-12-2019;14-12-2019;NEP;Nephrobs Norvegicus;16122019203
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;93,50;1870,00;27.3.AN;17-12-2019;OTB;FN 293;FN 293;;;;Denmark;;;17-12-2019;16-12-2019;16-12-2019;NEP;Nephrobs Norvegicus;17122019401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;0,00;40,00;95,00;3800,00;27.3.AN;17-12-2019;OTB;FN 131;FN 131;;;;Denmark;;;17-12-2019;16-12-2019;16-12-2019;NEP;Nephrobs Norvegicus;17122019101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;0,00;24,00;24,00;110,50;2652,00;27.3.AN;18-12-2019;OTB;FN 374;FN 374;;;;Denmark;;;18-12-2019;17-12-2019;17-12-2019;NEP;Nephrobs Norvegicus;18122019101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;15,00;15,00;112,50;1687,50;27.3.AS;18-12-2019;OTB;FN 168;Græsholm;;;;Denmark;;;18-12-2019;17-12-2019;17-12-2019;NEP;Nephrobs Norvegicus;18122019301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;117,50;2350,00;27.3.AS;19-12-2019;OTB;FN 321;FN 321;;;;Denmark;;;19-12-2019;18-12-2019;18-12-2019;NEP;Nephrobs Norvegicus;19122019404
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;119,50;2390,00;27.3.AS;19-12-2019;OTB;;;;;;;;;19-12-2019;18-12-2019;18-12-2019;NEP;Nephrobs Norvegicus;191220191601
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;120,00;2400,00;27.3.AS;19-12-2019;OTB;FN 321;FN 321;;;;Denmark;;;19-12-2019;18-12-2019;18-12-2019;NEP;Nephrobs Norvegicus;19122019401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;68,50;1370,00;27.3.AS;30-12-2019;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;30-12-2019;28-12-2019;29-12-2019;NEP;Nephrobs Norvegicus;301220191002
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;12,00;12,00;83,50;1002,00;27.3.AS;07-01-2020;OTB;hm 492;Hm 492;;;;Denmark;;;07-01-2020;06-01-2020;06-01-2020;NEP;Nephrobs Norvegicus;07012020701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;9,00;9,00;72,75;654,75;27.3.AS;08-01-2020;OTB;FN 131;FN 131;;;;Denmark;;;08-01-2020;07-01-2020;07-01-2020;NEP;Nephrobs Norvegicus;080120202001
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;8,00;8,00;64,25;514,00;27.3.AS;10-01-2020;OTB;FN 131;FN 131;;;;Denmark;;;10-01-2020;09-01-2020;09-01-2020;NEP;Nephrobs Norvegicus;100120202301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;9,00;29,00;67,50;1957,50;27.3.AS;13-01-2020;OTB;FN 326;FN 326;;;;Denmark;;;13-01-2020;12-01-2020;12-01-2020;NEP;Nephrobs Norvegicus;13012020401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;69,00;1380,00;27.3.AS;13-01-2020;OTB;FN 219;FN 219;;;;Denmark;;;13-01-2020;12-01-2020;12-01-2020;NEP;Nephrobs Norvegicus;13012020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;25,00;45,00;66,00;2970,00;27.3.AS;14-01-2020;OTB;FN 326;FN 326;;;;Denmark;;;14-01-2020;13-01-2020;13-01-2020;NEP;Nephrobs Norvegicus;14012020502
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;4;20,00;0,00;80,00;82,00;6560,00;27.3.AS;16-01-2020;OTB;FN 293;FN 293;;;;Denmark;;;16-01-2020;15-01-2020;15-01-2020;NEP;Nephrobs Norvegicus;16012020102
Strandby;Jomfruhummer;E;3;TRAWL;TRUE;FALSE;1;0,00;14,00;14,00;26,25;367,50;27.3.AS;17-01-2020;OTB;FN 293;FN 293;;;;Denmark;;;17-01-2020;16-01-2020;16-01-2020;NEP;Nephrobs Norvegicus;17012020801
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;73,75;1475,00;27.3.AS;20-01-2020;OTB;hm 492;Hm 492;;;;Denmark;;;20-01-2020;19-01-2020;19-01-2020;NEP;Nephrobs Norvegicus;20012020402
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;14,00;14,00;77,50;1085,00;27.3.AS;20-01-2020;OTB;FN 374;FN 374;;;;Denmark;;;20-01-2020;18-01-2020;19-01-2020;NEP;Nephrobs Norvegicus;20012020701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;74,50;1490,00;27.3.AS;23-01-2020;OTB;FN 131;FN 131;;;;Denmark;;;23-01-2020;22-01-2020;22-01-2020;NEP;Nephrobs Norvegicus;23012020102
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;19,50;0,00;19,50;79,50;1550,25;27.3.AS;23-01-2020;OTB;hm 492;Hm 492;;;;Denmark;;;23-01-2020;22-01-2020;22-01-2020;NEP;Nephrobs Norvegicus;23012020901
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;23,00;23,00;55,50;1276,50;27.3.AS;27-01-2020;OTB;FN 374;FN 374;;;;Denmark;;;27-01-2020;25-01-2020;26-01-2020;NEP;Nephrobs Norvegicus;270120201401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;16,00;16,00;71,00;1136,00;27.3.AS;28-01-2020;OTB;FN 321;FN 321;;;;Denmark;;;28-01-2020;27-01-2020;27-01-2020;NEP;Nephrobs Norvegicus;28012020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;10,00;10,00;59,00;590,00;27.3.AS;29-01-2020;OTB;FN 374;FN 374;;;;Denmark;;;29-01-2020;28-01-2020;28-01-2020;NEP;Nephrobs Norvegicus;290120201001
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;60,00;1200,00;27.3.AS;29-01-2020;OTB;FN 293;FN 293;;;;Denmark;;;29-01-2020;28-01-2020;28-01-2020;NEP;Nephrobs Norvegicus;29012020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;54,50;1090,00;27.3.AS;30-01-2020;OTB;FN 326;FN 326;;;;Denmark;;;30-01-2020;29-01-2020;29-01-2020;NEP;Nephrobs Norvegicus;300120201401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;15,00;17,00;17,00;76,00;1292,00;27.3.AS;03-02-2020;OTB;;;;;;;;;03-02-2020;01-02-2020;01-02-2020;NEP;Nephrobs Norvegicus;03022020201
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;68,75;1375,00;27.3.AS;04-02-2020;OTB;FN 326;FN 326;;;;Denmark;;;04-02-2020;03-02-2020;03-02-2020;NEP;Nephrobs Norvegicus;04022020601
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;4,00;4,00;65,75;263,00;27.3.AS;05-02-2020;OTB;FN 321;FN 321;;;;Denmark;;;05-02-2020;04-02-2020;04-02-2020;NEP;Nephrobs Norvegicus;05022020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;53,25;1065,00;27.3.AS;06-02-2020;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;06-02-2020;03-02-2020;05-02-2020;NEP;Nephrobs Norvegicus;060220201101
Strandby;Jomfruhummer;E;3;TRAWL;TRUE;FALSE;2;20,00;19,00;39,00;25,75;1004,25;27.3.AS;06-02-2020;OTB;FN 459;FN 459;;;;Denmark;;;06-02-2020;05-02-2020;05-02-2020;NEP;Nephrobs Norvegicus;06022020201
Strandby;Jomfruhummer;E;3;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;26,50;530,00;27.3.AS;06-02-2020;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;06-02-2020;03-02-2020;05-02-2020;NEP;Nephrobs Norvegicus;060220201301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;25,00;25,00;56,75;1418,75;27.3.AS;10-02-2020;OTB;;;;;;;;;10-02-2020;08-02-2020;08-02-2020;NEP;Nephrobs Norvegicus;100220201101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;15,00;0,00;15,00;55,00;825,00;27.3.AS;17-02-2020;OTB;hm 492;Hm 492;;;;Denmark;;;17-02-2020;14-02-2020;14-02-2020;NEP;Nephrobs Norvegicus;170220202103
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;60,75;1215,00;27.3.AS;17-02-2020;OTB;FN 131;FN 131;;;;Denmark;;;17-02-2020;15-02-2020;15-02-2020;NEP;Nephrobs Norvegicus;17022020302
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;8,00;28,00;62,00;1736,00;27.3.AS;17-02-2020;OTB;hm 492;Hm 492;;;;Denmark;;;17-02-2020;15-02-2020;15-02-2020;NEP;Nephrobs Norvegicus;17022020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;26,00;26,00;82,00;2132,00;27.3.AS;20-02-2020;OTB;s 84;S 84;Musketervej;9990;Skagen;Denmark;;;20-02-2020;19-02-2020;19-02-2020;NEP;Nephrobs Norvegicus;20022020901
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;93,50;1870,00;27.3.AS;25-02-2020;OTB;FN 321;FN 321;;;;Denmark;;;25-02-2020;24-02-2020;24-02-2020;NEP;Nephrobs Norvegicus;250220202101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;16,00;16,00;66,25;1060,00;27.3.AS;28-02-2020;OTB;a 421;a 421 jomus;;;;Denmark;;;28-02-2020;27-02-2020;27-02-2020;NEP;Nephrobs Norvegicus;28022020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;46,75;935,00;27.3.AS;02-03-2020;OTB;HG 75;HG 75;;;;Denmark;;;02-03-2020;28-02-2020;28-02-2020;NEP;Nephrobs Norvegicus;02032020802
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;72,50;1450,00;27.3.AS;03-03-2020;OTB;s 84;S 84;Musketervej;9990;Skagen;Denmark;;;03-03-2020;02-03-2020;02-03-2020;NEP;Nephrobs Norvegicus;03032020402
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;60,50;1210,00;27.3.AS;05-03-2020;OTB;HG 75;HG 75;;;;Denmark;;;05-03-2020;04-03-2020;04-03-2020;NEP;Nephrobs Norvegicus;05032020302
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;10,00;10,00;64,00;640,00;27.3.AS;05-03-2020;OTB;HG 75;HG 75;;;;Denmark;;;05-03-2020;04-03-2020;04-03-2020;NEP;Nephrobs Norvegicus;05032020301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;37,75;755,00;27.3.AN;09-03-2020;OTB;HG 75;HG 75;;;;Denmark;;;09-03-2020;07-03-2020;07-03-2020;NEP;Nephrobs Norvegicus;09032020201
Strandby;Jomfruhummer;E;2;TRAWL;FALSE;FALSE;1;20,00;5,00;5,00;48,50;242,50;27.3.AN;12-03-2020;OTB;R 25 K;"R 25 K ""Silvervåg""";;;;Norway;;;12-03-2020;10-03-2020;10-03-2020;NEP;Nephrobs Norvegicus;12032020301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;15,00;15,00;42,25;633,75;27.3.AS;17-03-2020;OTB;FN 220;FN 220;;;;Denmark;;;17-03-2020;16-03-2020;16-03-2020;NEP;Nephrobs Norvegicus;170320201301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;0,00;60,00;43,00;2580,00;27.3.AS;18-03-2020;OTB;FN 321;FN 321;;;;Denmark;;;18-03-2020;17-03-2020;17-03-2020;NEP;Nephrobs Norvegicus;18032020703
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;6;20,00;0,00;120,00;44,50;5340,00;27.3.AS;18-03-2020;OTB;FN 326;FN 326;;;;Denmark;;;18-03-2020;17-03-2020;17-03-2020;NEP;Nephrobs Norvegicus;18032020401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;0,00;60,00;44,50;2670,00;27.3.AS;18-03-2020;OTB;FN 321;FN 321;;;;Denmark;;;18-03-2020;17-03-2020;17-03-2020;NEP;Nephrobs Norvegicus;18032020701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;45,50;910,00;27.3.AS;18-03-2020;OTB;FN 374;FN 374;;;;Denmark;;;18-03-2020;17-03-2020;18-03-2020;NEP;Nephrobs Norvegicus;18032020104
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;48,00;960,00;27.3.AN;20-03-2020;OTB;FN 219;FN 219;;;;Denmark;;;20-03-2020;19-03-2020;19-03-2020;NEP;Nephrobs Norvegicus;20032020301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;25,25;505,00;27.3.AN;23-03-2020;OTB;FN 131;FN 131;;;;Denmark;;;23-03-2020;21-03-2020;22-03-2020;NEP;Nephrobs Norvegicus;230320201204
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;26,75;535,00;27.3.AN;23-03-2020;OTB;FN 131;FN 131;;;;Denmark;;;23-03-2020;21-03-2020;22-03-2020;NEP;Nephrobs Norvegicus;230320201202
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;27,25;545,00;27.3.AN;23-03-2020;OTB;s 84;S 84;Musketervej;9990;Skagen;Denmark;;;23-03-2020;21-03-2020;22-03-2020;NEP;Nephrobs Norvegicus;230320201501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;31,25;625,00;27.3.AN;24-03-2020;OTB;FN 131;FN 131;;;;Denmark;;;24-03-2020;23-03-2020;23-03-2020;NEP;Nephrobs Norvegicus;24032020701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;33,50;670,00;27.3.AN;24-03-2020;OTB;FN 374;FN 374;;;;Denmark;;;24-03-2020;23-03-2020;23-03-2020;NEP;Nephrobs Norvegicus;240320201001
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;36,00;720,00;27.3.AN;24-03-2020;OTB;HG 75;HG 75;;;;Denmark;;;24-03-2020;23-03-2020;23-03-2020;NEP;Nephrobs Norvegicus;240320201902
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;0,00;100,00;30,75;3075,00;27.3.AN;25-03-2020;OTB;FN 436;FN 436;;;;Denmark;;;25-03-2020;24-03-2020;24-03-2020;NEP;Nephrobs Norvegicus;25032020301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;6;20,00;0,00;120,00;30,75;3690,00;27.3.AN;25-03-2020;OTB;FN 436;FN 436;;;;Denmark;;;25-03-2020;24-03-2020;24-03-2020;NEP;Nephrobs Norvegicus;25032020304
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;0,00;100,00;35,50;3550,00;27.3.AS;25-03-2020;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;25-03-2020;24-03-2020;24-03-2020;NEP;Nephrobs Norvegicus;25032020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;11;20,00;0,00;220,00;27,25;5995,00;27.3.AN;26-03-2020;OTB;FN 436;FN 436;;;;Denmark;;;26-03-2020;25-03-2020;25-03-2020;NEP;Nephrobs Norvegicus;26032020407
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;0,00;40,00;26,25;1050,00;27.3.AN;27-03-2020;OTB;FN 219;FN 219;;;;Denmark;;;27-03-2020;26-03-2020;26-03-2020;NEP;Nephrobs Norvegicus;27032020801
Strandby;Jomfruhummer;E;9;;FALSE;FALSE;1;0,00;21,00;21,00;50,00;1050,00;;30-03-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;30-03-2020;;;NEP;Nephrobs Norvegicus;30032020201
Hirtshals;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;10,00;50,00;69,50;3475,00;27.3.AN;31-03-2020;OTB;FN 338;FN 338;;;;Denmark;;;31-03-2020;27-03-2020;30-03-2020;NEP;Nephrobs Norvegicus;31032020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;8,00;8,00;60,00;480,00;27.3.AN;01-04-2020;OTB;FN 364;Sarah Kajgaard;;;;Denmark;;;01-04-2020;30-03-2020;31-03-2020;NEP;Nephrobs Norvegicus;01042020104
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;0,00;40,00;68,00;2720,00;27.3.AN;01-04-2020;OTB;FN 364;Sarah Kajgaard;;;;Denmark;;;01-04-2020;30-03-2020;31-03-2020;NEP;Nephrobs Norvegicus;01042020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;6;20,00;0,00;120,00;68,50;8220,00;27.3.AN;01-04-2020;OTB;FN 364;Sarah Kajgaard;;;;Denmark;;;01-04-2020;30-03-2020;31-03-2020;NEP;Nephrobs Norvegicus;01042020102
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;0,00;40,00;80,00;3200,00;27.3.AN;02-04-2020;OTB;FN 338;FN 338;;;;Denmark;;;02-04-2020;31-03-2020;01-04-2020;NEP;Nephrobs Norvegicus;02042020202
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;63,00;1260,00;27.3.AS;06-04-2020;OTB;FN 374;FN 374;;;;Denmark;;;06-04-2020;04-04-2020;05-04-2020;NEP;Nephrobs Norvegicus;06042020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;10,00;10,00;68,00;680,00;27.3.AS;07-04-2020;OTB;;;;;;;;;07-04-2020;06-04-2020;07-04-2020;NEP;Nephrobs Norvegicus;070420201301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;12,00;12,00;71,00;852,00;27.3.AS;08-04-2020;OTB;;;;;;;;;08-04-2020;07-04-2020;08-04-2020;NEP;Nephrobs Norvegicus;08042020403
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;72,00;1440,00;27.3.AS;08-04-2020;OTB;;;;;;;;;08-04-2020;07-04-2020;08-04-2020;NEP;Nephrobs Norvegicus;08042020401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;63,75;1275,00;27.3.AN;15-04-2020;OTB;FN 220;FN 220;;;;Denmark;;;15-04-2020;14-04-2020;14-04-2020;NEP;Nephrobs Norvegicus;15042020103
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;45,00;900,00;27.3.AN;20-04-2020;OTB;FN 326;FN 326;;;;Denmark;;;20-04-2020;19-04-2020;19-04-2020;NEP;Nephrobs Norvegicus;20042020102
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;12,00;12,00;40,50;486,00;27.3.AN;21-04-2020;OTB;s 84;S 84;Musketervej;9990;Skagen;Denmark;;;21-04-2020;20-04-2020;20-04-2020;NEP;Nephrobs Norvegicus;210420201201
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;46,00;920,00;27.3.AN;22-04-2020;OTB;FN 131;FN 131;;;;Denmark;;;22-04-2020;21-04-2020;21-04-2020;NEP;Nephrobs Norvegicus;22042020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;52,00;1040,00;27.3.AN;22-04-2020;OTB;FN 374;FN 374;;;;Denmark;;;22-04-2020;21-04-2020;21-04-2020;NEP;Nephrobs Norvegicus;220420201501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;15,00;15,00;49,50;742,50;27.3.AS;23-04-2020;OTB;FN 168;Græsholm;;;;Denmark;;;23-04-2020;22-04-2020;23-04-2020;NEP;Nephrobs Norvegicus;23042020201
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;15,00;15,00;52,00;780,00;27.3.AS;27-04-2020;OTB;;;;;;;;;27-04-2020;26-04-2020;27-04-2020;NEP;Nephrobs Norvegicus;27042020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;10,00;10,00;47,00;470,00;27.3.AS;28-04-2020;OTB;HG 20;HG 20;;;;Denmark;;;28-04-2020;27-04-2020;28-04-2020;NEP;Nephrobs Norvegicus;28042020401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;24,00;104,00;44,50;4628,00;27.3.AN;29-04-2020;OTB;FN 131;FN 131;;;;Denmark;;;29-04-2020;28-04-2020;28-04-2020;NEP;Nephrobs Norvegicus;290420202401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;0,00;60,00;44,50;2670,00;27.3.AN;29-04-2020;OTB;FN 374;FN 374;;;;Denmark;;;29-04-2020;28-04-2020;28-04-2020;NEP;Nephrobs Norvegicus;290420203103
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;13,00;93,00;45,50;4231,50;27.3.AS;29-04-2020;OTB;r 223;R 223 Louise;;9970;Strandby;Denmark;;;29-04-2020;28-04-2020;29-04-2020;NEP;Nephrobs Norvegicus;29042020401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;0,00;100,00;45,50;4550,00;27.3.AN;29-04-2020;OTB;FN 374;FN 374;;;;Denmark;;;29-04-2020;28-04-2020;28-04-2020;NEP;Nephrobs Norvegicus;290420203102
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;22,00;102,00;45,75;4666,50;27.3.AS;29-04-2020;OTB;;;;;;;;;29-04-2020;28-04-2020;29-04-2020;NEP;Nephrobs Norvegicus;29042020201
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;0,00;100,00;44,75;4475,00;27.3.AN;30-04-2020;OTB;FN 374;FN 374;;;;Denmark;;;30-04-2020;29-04-2020;29-04-2020;NEP;Nephrobs Norvegicus;300420201301
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;2;20,00;26,00;46,00;48,25;2219,50;27.3.AS;30-04-2020;OTB;HG 20;HG 20;;;;Denmark;;;30-04-2020;29-04-2020;30-04-2020;NEP;Nephrobs Norvegicus;30042020102
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;47,25;945,00;27.3.AN;04-05-2020;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;04-05-2020;02-05-2020;03-05-2020;NEP;Nephrobs Norvegicus;04052020801
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;47,50;950,00;27.3.AS;05-05-2020;OTB;r 223;R 223 Louise;;9970;Strandby;Denmark;;;05-05-2020;04-05-2020;05-05-2020;NEP;Nephrobs Norvegicus;05052020601
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;47,50;950,00;27.3.AS;05-05-2020;OTB;HG 20;HG 20;;;;Denmark;;;05-05-2020;04-05-2020;05-05-2020;NEP;Nephrobs Norvegicus;05052020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;4;20,00;14,00;74,00;48,25;3570,50;27.3.AS;06-05-2020;OTB;;;;;;;;;06-05-2020;05-05-2020;06-05-2020;NEP;Nephrobs Norvegicus;06052020602
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;5;20,00;12,00;92,00;49,00;4508,00;27.3.AS;06-05-2020;OTB;FN 168;Græsholm;;;;Denmark;;;06-05-2020;05-05-2020;06-05-2020;NEP;Nephrobs Norvegicus;06052020201
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;8;20,00;8,00;148,00;50,25;7437,00;27.3.AN;06-05-2020;OTB;HG 75;HG 75;;;;Denmark;;;06-05-2020;05-05-2020;06-05-2020;NEP;Nephrobs Norvegicus;06052020702
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;0,00;60,00;53,00;3180,00;27.3.AN;06-05-2020;OTB;HG 75;HG 75;;;;Denmark;;;06-05-2020;05-05-2020;06-05-2020;NEP;Nephrobs Norvegicus;06052020701
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;11,00;11,00;46,00;506,00;27.3.AS;07-05-2020;OTB;H 84;H 84;Strandvejen 22;7741;;Denmark;;;07-05-2020;06-05-2020;07-05-2020;NEP;Nephrobs Norvegicus;0705202030401
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;3;20,00;0,00;60,00;50,00;3000,00;27.3.AS;07-05-2020;OTB;;;;;;;;;07-05-2020;06-05-2020;07-05-2020;NEP;Nephrobs Norvegicus;07052020101
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;60,50;1210,00;27.3.AS;11-05-2020;OTB;FN 219;FN 219;;;;Denmark;;;11-05-2020;10-05-2020;11-05-2020;NEP;Nephrobs Norvegicus;11052020501
Strandby;Jomfruhummer;E;2;TRAWL;TRUE;FALSE;1;20,00;0,00;20,00;57,50;1150,00;27.3.AS;12-05-2020;OTB;FN 19;FN 19;;;;Denmark;;;12-05-2020;11-05-2020;12-05-2020;NEP;Nephrobs Norvegicus;12052020502
